issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
ABBV,AEP,18,True,16.110506487661375,15.4943,-0.16566284987436178,0.38555287386151066,-0.676637106130378
ABBV,AXP,19,True,27.770764774416588,15.4943,-0.07416948776106569,0.26645134666174924,-0.3009397375961988
ABBV,BA,19,True,16.121706509576065,15.4943,-0.25478826190193526,0.5069376236904902,-1.0564288624032339
ABBV,C,19,True,23.275911821670086,15.4943,-0.20206880090762613,0.43344805873406606,-0.7877463728261155
ABBV,CAT,19,False,11.235100832410119,15.4943,,,
ABBV,CL,18,False,11.481452300330181,15.4943,,,
ABBV,CSCO,19,False,13.177033002853847,15.4943,,,
ABBV,GS,19,True,17.158299129816058,15.4943,-0.18624652733325964,0.41241967728139894,-0.6364706826863693
ABBV,HD,19,True,20.998500433262077,15.4943,-0.11822201452346034,0.324630067744112,-0.47645263067636784
ABBV,HON,19,True,18.83435631891362,15.4943,-0.29015565439786756,0.5601923763908182,-1.22532959206664
ABBV,HUM,18,False,12.96506036104986,15.4943,,,
ABBV,INTC,19,True,18.58398552725135,15.4943,-0.11535678113326775,0.32094225761072137,-0.47034890403850127
ABBV,JNJ,19,True,23.019120874249463,15.4943,0.3105922334073975,0.5928011390192571,1.3587379192127322
ABBV,KMI,19,True,35.78274375608724,15.4943,0.0580835114514563,0.24356219360861583,0.23408947761654528
ABBV,KO,19,True,17.22987700064242,15.4943,-0.08443244268122149,0.28042162895873796,-0.33961223026890464
ABBV,MCD,21,True,19.06967308262618,15.4943,-0.09455419996068315,0.2938830032841242,-0.4026347364158675
ABBV,MSFT,20,True,28.160306651137375,15.4943,-0.23378620402483932,0.4769312418229302,-1.1128777232388944
ABBV,NSC,18,True,17.19651573327646,15.4943,-0.3741017609332079,0.7049713617054604,-1.5863847010739527
ABBV,ORCL,20,True,18.910167261903137,15.4943,-0.2806017095108242,0.5454334332436948,-1.2153120016524128
ABBV,PEP,20,False,14.076852597410412,15.4943,,,
ABBV,PG,19,False,13.420054003566815,15.4943,,,
ABBV,SBUX,19,True,17.720810398369906,15.4943,-0.23880135687128767,0.48399968179228303,-0.9697599404606633
ABBV,T,19,True,21.40267177774315,15.4943,-0.11908722447014933,0.3257425074803023,-0.5069249264113579
ABBV,TAP,18,False,14.826457142960958,15.4943,,,
ABBV,TGT,19,False,15.437544950289347,15.4943,,,
ABBV,TMO,19,False,11.443219041681306,15.4943,,,
