issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
ABBV,VZ,20,True,23.054247380018126,15.4943,-0.001629889070608015,0.1079795773214752,-0.006767249028237678
TAP,VZ,18,True,20.419811529739462,15.4943,0.003617576146548798,0.12329299461565688,0.014534717153191278
HD,T,19,True,24.911692549704565,15.4943,0.005784457820503698,0.13452427597071062,0.023296537457861047
KO,MCD,20,True,18.098567726607104,15.4943,0.005857982537598894,0.1348548485889981,0.02414704101964847
JNJ,WFC,19,True,19.147139425411677,15.4943,-0.007243963721868529,0.1406666622322147,-0.029713239381376964
KO,TMO,19,True,15.612312245202364,15.4943,0.007700538450569672,0.142433404360795,0.03082642499324354
CL,UNH,18,True,26.72950342817162,15.4943,0.008686659275387944,0.14604973084101788,0.03364154602449134
AXP,VZ,19,True,18.158881077693913,15.4943,-0.008726384319948738,0.1461902754653958,-0.03624550196658941
JNJ,ORCL,19,True,16.371650234830536,15.4943,0.009121240335702385,0.1475676222683474,0.03688319763642755
AXP,PG,19,True,24.453833627588395,15.4943,0.00989115211557029,0.1501581380756048,0.04002931532824872
CL,WFC,18,True,15.54192161892832,15.4943,-0.013287365847370525,0.16041577037375315,-0.05140144653997666
MCD,UPS,19,True,19.29408950244223,15.4943,-0.014775899615798949,0.16445717845336413,-0.0595262224228719
KO,T,19,True,15.513345392254045,15.4943,0.015554802925027422,0.16648641533968064,0.0626006921875617
GS,T,19,True,17.690978627592987,15.4943,0.016415363776599967,0.16866792656152851,0.06380229457605975
AXP,T,19,True,32.0462994939059,15.4943,0.01738440381302217,0.17105530144586953,0.06982753016887544
AXP,PEP,19,True,21.87514778476461,15.4943,0.020112206438809954,0.17743757627133397,0.08529315151000039
T,UPS,19,True,20.023183859866243,15.4943,0.020171623079594636,0.17757166783808337,0.08087508934966056
T,TMO,19,True,16.990229248015833,15.4943,0.020564256057433783,0.1784529705771392,0.0841388064636746
C,HUM,18,True,30.788171130614774,15.4943,-0.02157618970986825,0.1806875352153547,-0.07579464202668448
